event_type,node,reason,station_id,task_id,time,vehicle_id
task_released,,,,4,0,
task_completed,,,,4,7,
task_released,,,,23,8,
task_released,,,,6,15,
task_released,,,,9,15,
vehicle_became_idle,,reach_depot,,,15,0
task_completed,,,,6,16,
task_completed,,,,23,17,
vehicle_became_idle,,reach_depot,,,18,2
task_completed,,,,9,18,
vehicle_became_idle,,reach_depot,,,22,3
vehicle_became_idle,,reach_depot,,,27,1
task_released,,,,13,41,
task_released,,,,14,43,
task_released,,,,22,45,
task_released,,,,26,45,
task_completed,,,,13,45,
vehicle_became_idle,,reach_depot,,,50,0
task_completed,,,,14,53,
task_completed,,,,26,53,
task_completed,,,,22,55,
task_released,,,,10,57,
vehicle_became_idle,,reach_depot,,,62,3
task_released,,,,20,64,
vehicle_became_idle,,reach_depot,,,64,1
vehicle_became_idle,,reach_depot,,,66,2
task_completed,,,,10,67,
task_completed,,,,20,73,
vehicle_became_idle,,reach_depot,,,78,0
vehicle_became_idle,,reach_depot,,,83,3
task_released,,,,1,89,
task_released,,,,5,94,
task_released,,,,29,94,
task_completed,,,,1,98,
task_completed,,,,29,101,
task_released,,,,8,103,
task_completed,,,,8,104,
task_completed,,,,5,105,
vehicle_became_idle,,reach_depot,,,106,3
vehicle_became_idle,,reach_depot,,,108,0
task_released,,,,24,109,
vehicle_became_idle,,reach_depot,,,109,2
task_released,,,,27,110,
task_released,,,,11,113,
vehicle_became_idle,,reach_depot,,,117,1
task_completed,,,,27,118,
task_completed,,,,11,119,
task_released,,,,0,121,
task_completed,,,,24,121,
task_released,,,,16,122,
task_released,,,,2,123,
task_completed,,,,16,123,
vehicle_became_idle,,reach_depot,,,125,1
vehicle_became_idle,,reach_depot,,,126,2
vehicle_became_idle,,reach_depot,,,127,0
charge_unreachable,0,,,,127,0
charge_unreachable,0,,,,128,0
charge_unreachable,0,,,,129,0
task_released,,,,21,130,
charge_unreachable,0,,,,130,0
task_completed,,,,0,130,
task_released,,,,7,131,
charge_unreachable,0,,,,131,0
charge_unreachable,0,,,,132,0
charge_unreachable,0,,,,133,0
charge_unreachable,0,,,,134,0
vehicle_reached_station,,,1,,134,1
task_completed,,,,2,134,
vehicle_became_idle,,reach_depot,,,134,3
charge_unreachable,0,,,,135,0
charge_unreachable,0,,,,136,0
charge_unreachable,0,,,,137,0
task_released,,,,12,138,
charge_unreachable,0,,,,138,0
charge_unreachable,0,,,,139,0
charge_unreachable,0,,,,140,0
vehicle_became_idle,,reach_depot,,,140,4
charge_unreachable,0,,,,141,0
charge_unreachable,0,,,,142,0
vehicle_became_idle,,reach_depot,,,142,2
charge_unreachable,0,,,,143,0
vehicle_reached_station,,,1,,143,3
charge_unreachable,0,,,,144,0
charge_unreachable,0,,,,145,0
task_completed,,,,12,145,
charge_unreachable,0,,,,146,0
charge_unreachable,0,,,,147,0
charge_unreachable,0,,,,148,0
charge_unreachable,0,,,,149,0
charge_unreachable,0,,,,150,0
vehicle_became_idle,,reach_depot,,,150,4
charge_unreachable,0,,,,151,0
vehicle_reached_station,,,1,,151,2
vehicle_finished_charging,,,1,,151,1
charge_unreachable,0,,,,152,0
charge_unreachable,0,,,,153,0
charge_unreachable,0,,,,154,0
task_completed,,,,21,154,
task_released,,,,15,155,
task_released,,,,25,155,
charge_unreachable,0,,,,155,0
charge_unreachable,0,,,,156,0
charge_unreachable,0,,,,157,0
charge_unreachable,0,,,,158,0
vehicle_became_idle,,reach_depot,,,158,4
charge_unreachable,0,,,,159,0
charge_unreachable,0,,,,160,0
charge_unreachable,0,,,,161,0
vehicle_finished_charging,,,1,,161,3
charge_unreachable,0,,,,162,0
task_released,,,,28,163,
charge_unreachable,0,,,,163,0
task_released,,,,17,164,
charge_unreachable,0,,,,164,0
charge_unreachable,0,,,,165,0
charge_unreachable,0,,,,166,0
charge_unreachable,0,,,,167,0
charge_unreachable,0,,,,168,0
vehicle_finished_charging,,,1,,168,2
task_released,,,,18,169,
charge_unreachable,0,,,,169,0
task_completed,,,,7,169,
charge_unreachable,0,,,,170,0
task_completed,,,,25,170,
charge_unreachable,0,,,,171,0
charge_unreachable,0,,,,172,0
task_completed,,,,15,172,
charge_unreachable,0,,,,173,0
charge_unreachable,0,,,,174,0
charge_unreachable,0,,,,175,0
vehicle_became_idle,,reach_depot,,,175,3
task_released,,,,3,176,
task_released,,,,19,176,
charge_unreachable,0,,,,176,0
charge_unreachable,0,,,,177,0
charge_unreachable,0,,,,178,0
charge_unreachable,0,,,,179,0
vehicle_became_idle,,reach_depot,,,179,1
